,MAE,SMAPE
tourism_monthly_dataset.tsf_T19.csv,6461.442964226993,12.41960942618761
tourism_monthly_dataset.tsf_T31.csv,19477.689303561852,29.398117675747013
tourism_monthly_dataset.tsf_T25.csv,2162.2963915143177,32.89628920796382
tourism_monthly_dataset.tsf_T201.csv,279.78863250695036,35.78168303816259
tourism_monthly_dataset.tsf_T215.csv,384.1334793734799,38.342829877099526
tourism_monthly_dataset.tsf_T229.csv,535.763434938887,42.2926719048018
tourism_monthly_dataset.tsf_T188.csv,2183.7114285292196,16.94411539421586
tourism_monthly_dataset.tsf_T177.csv,1886.3775002811701,22.95886256275492
tourism_monthly_dataset.tsf_T163.csv,933.5582551871086,41.67858067601683
tourism_monthly_dataset.tsf_T361.csv,17179.320858819425,114.60904773777075
tourism_monthly_dataset.tsf_T349.csv,16837.754558965476,18.104252039020622
tourism_monthly_dataset.tsf_T348.csv,3253.027659116259,17.271628642941927
tourism_monthly_dataset.tsf_T360.csv,22258.74703355109,78.43593277225041
tourism_monthly_dataset.tsf_T162.csv,442.4396986741156,45.57401761293533
tourism_monthly_dataset.tsf_T176.csv,530.6904189657685,23.81161428884088
tourism_monthly_dataset.tsf_T189.csv,1261.0100486915674,19.244450586801637
tourism_monthly_dataset.tsf_T228.csv,78.37912208969367,32.13571584071239
tourism_monthly_dataset.tsf_T214.csv,128.74305334134002,24.379443674813704
tourism_monthly_dataset.tsf_T200.csv,977.9860396935551,27.208119203531936
tourism_monthly_dataset.tsf_T24.csv,1673.5591599263248,20.362136835104756
tourism_monthly_dataset.tsf_T30.csv,1531.400670363057,17.744504048599687
tourism_monthly_dataset.tsf_T18.csv,14750.019221450675,16.606250915029904
tourism_monthly_dataset.tsf_T26.csv,3431.636193050241,15.441485430310266
tourism_monthly_dataset.tsf_T32.csv,2275.7951802855587,19.04986131373991
tourism_monthly_dataset.tsf_T216.csv,2180.398747487442,19.9496906277251
tourism_monthly_dataset.tsf_T202.csv,119.29467764572283,51.5502758429629
tourism_monthly_dataset.tsf_T160.csv,10740.328932582597,20.212547105410767
tourism_monthly_dataset.tsf_T174.csv,330.67186983265134,38.75959396461865
tourism_monthly_dataset.tsf_T148.csv,2223.3541294305332,25.9173656979316
tourism_monthly_dataset.tsf_T362.csv,5740.2405727572095,97.94003722659909
tourism_monthly_dataset.tsf_T363.csv,2139.179589556959,31.113203902165637
tourism_monthly_dataset.tsf_T149.csv,2828.322484092229,16.27177863299374
tourism_monthly_dataset.tsf_T175.csv,1401.3359381183532,28.201492032479454
tourism_monthly_dataset.tsf_T161.csv,2623.069202121092,27.063133878037576
tourism_monthly_dataset.tsf_T203.csv,116.21435269464993,22.771249359505195
tourism_monthly_dataset.tsf_T217.csv,515.6216974402043,35.84247749990575
tourism_monthly_dataset.tsf_T33.csv,9456.432403411543,24.496485293292583
tourism_monthly_dataset.tsf_T27.csv,6891.656877497143,24.112335823421493
tourism_monthly_dataset.tsf_T23.csv,2553.2557542056816,34.302005204584624
tourism_monthly_dataset.tsf_T37.csv,5610.149279537295,13.259744837753574
tourism_monthly_dataset.tsf_T213.csv,414.769998427936,42.184271498602136
tourism_monthly_dataset.tsf_T207.csv,3605.936923206875,27.482251924313367
tourism_monthly_dataset.tsf_T159.csv,186.69091769366588,53.53488625403052
tourism_monthly_dataset.tsf_T165.csv,3777.016316992315,25.78943205031087
tourism_monthly_dataset.tsf_T171.csv,8235.827934212339,22.156372080406154
tourism_monthly_dataset.tsf_T170.csv,246.3741761857387,39.3622828611774
tourism_monthly_dataset.tsf_T164.csv,376.06992577156944,26.498117002483227
tourism_monthly_dataset.tsf_T158.csv,953.7562098148926,27.85054348179914
tourism_monthly_dataset.tsf_T206.csv,156.73278180019508,38.194930692013806
tourism_monthly_dataset.tsf_T212.csv,2008.3251931110426,22.78418774859153
tourism_monthly_dataset.tsf_T36.csv,10025.488645030679,26.2893785740044
tourism_monthly_dataset.tsf_T22.csv,3424.69608701657,26.623715754348428
tourism_monthly_dataset.tsf_T34.csv,5603.067294792238,18.548147365134245
tourism_monthly_dataset.tsf_T20.csv,4316.7952107661895,32.449572159909174
tourism_monthly_dataset.tsf_T238.csv,563.1077982659302,22.732756213444304
tourism_monthly_dataset.tsf_T204.csv,407.15162844509763,24.764970571873228
tourism_monthly_dataset.tsf_T210.csv,879.0094042832097,29.81292193724141
tourism_monthly_dataset.tsf_T199.csv,140.5076731440253,41.603538259462496
tourism_monthly_dataset.tsf_T172.csv,631.9946444114248,34.18334963659282
tourism_monthly_dataset.tsf_T166.csv,300.09584282214144,42.82899764287747
tourism_monthly_dataset.tsf_T358.csv,36109.62440624796,63.64538962929752
tourism_monthly_dataset.tsf_T364.csv,4756.228504022815,27.794145026279892
tourism_monthly_dataset.tsf_T365.csv,1315.1747587329571,39.765963288160286
tourism_monthly_dataset.tsf_T359.csv,11553.568511542559,113.13060410525904
tourism_monthly_dataset.tsf_T167.csv,301.6944707007635,40.81379716472887
tourism_monthly_dataset.tsf_T173.csv,10878.878145423387,21.870862799390437
tourism_monthly_dataset.tsf_T198.csv,89.41873426095628,41.07644894765246
tourism_monthly_dataset.tsf_T211.csv,5264.250311148425,22.547536412253606
tourism_monthly_dataset.tsf_T205.csv,105.45901253800568,44.89800155498056
tourism_monthly_dataset.tsf_T239.csv,999.5257594219725,32.27587984815272
tourism_monthly_dataset.tsf_T21.csv,5317.632363997857,23.846435898700758
tourism_monthly_dataset.tsf_T35.csv,65062.68419739422,13.677210522021653
tourism_monthly_dataset.tsf_T52.csv,3230.9716526108036,25.991675651168787
