,MAE,SMAPE
tourism_quarterly_dataset.tsf_T79.csv,10675.23758701551,30.543849995364692
tourism_quarterly_dataset.tsf_T139.csv,4896.806260081685,79.11000161033569
tourism_quarterly_dataset.tsf_T45.csv,133505.6800549613,10.913655819994927
tourism_quarterly_dataset.tsf_T111.csv,3389.127810100218,28.90484579116117
tourism_quarterly_dataset.tsf_T105.csv,2409.9565918737294,31.197455737104324
tourism_quarterly_dataset.tsf_T51.csv,3868.0225368098677,23.662387808880194
tourism_quarterly_dataset.tsf_T86.csv,22471.75627730598,70.70246063771648
tourism_quarterly_dataset.tsf_T92.csv,10135.71048877507,25.699278722099884
tourism_quarterly_dataset.tsf_T313.csv,114.55106666983842,28.098372941620372
tourism_quarterly_dataset.tsf_T307.csv,246.57870025092922,67.84082513822896
tourism_quarterly_dataset.tsf_T267.csv,211.31755430718812,14.22026736013434
tourism_quarterly_dataset.tsf_T273.csv,586.9312332450445,44.18615022592426
tourism_quarterly_dataset.tsf_T298.csv,400.92064447470847,52.674039618605455
tourism_quarterly_dataset.tsf_T299.csv,2888.1010530878193,37.60561695471559
tourism_quarterly_dataset.tsf_T272.csv,118.17386547003282,44.24692483125337
tourism_quarterly_dataset.tsf_T266.csv,905.8648452389583,37.39937937107054
tourism_quarterly_dataset.tsf_T306.csv,232.7199551662443,30.282282245094418
tourism_quarterly_dataset.tsf_T312.csv,102.32256840546918,70.2049821831891
tourism_quarterly_dataset.tsf_T93.csv,4920.798834242177,40.40458167161897
tourism_quarterly_dataset.tsf_T87.csv,9478.039009072376,46.54849564244936
tourism_quarterly_dataset.tsf_T104.csv,2368.8107127424364,26.853164530365152
tourism_quarterly_dataset.tsf_T50.csv,2260.6556456487424,15.498681557687181
tourism_quarterly_dataset.tsf_T44.csv,1250.7018185608592,16.460233948461003
tourism_quarterly_dataset.tsf_T110.csv,935.6586230775631,9.985338162339435
tourism_quarterly_dataset.tsf_T138.csv,6114.7456318451395,50.43391776478958
tourism_quarterly_dataset.tsf_T78.csv,82414.50119335111,45.20956210607005
tourism_quarterly_dataset.tsf_T52.csv,120771.40563977468,10.896675088179498
tourism_quarterly_dataset.tsf_T106.csv,1176.4870067499785,29.79593710978128
tourism_quarterly_dataset.tsf_T112.csv,5201.429162047019,21.74446235067983
tourism_quarterly_dataset.tsf_T46.csv,6942.764228454413,25.503582519350118
tourism_quarterly_dataset.tsf_T91.csv,8180.00213992027,18.275239494258475
tourism_quarterly_dataset.tsf_T85.csv,2503.7182443004344,13.695338082462237
tourism_quarterly_dataset.tsf_T338.csv,732.6843487076775,24.762271001790396
tourism_quarterly_dataset.tsf_T304.csv,2076.239741938923,40.06796485291045
tourism_quarterly_dataset.tsf_T310.csv,741.699727135728,81.60901719883036
tourism_quarterly_dataset.tsf_T258.csv,56.23834481648172,32.74723815321493
tourism_quarterly_dataset.tsf_T270.csv,1352.12655262659,34.32993270626781
tourism_quarterly_dataset.tsf_T264.csv,26085.62231319723,33.69531911658162
tourism_quarterly_dataset.tsf_T265.csv,7468.787391589089,30.923619167572493
tourism_quarterly_dataset.tsf_T271.csv,295.5894332604542,20.755613353301516
tourism_quarterly_dataset.tsf_T259.csv,175.0347926714418,15.168642305098757
tourism_quarterly_dataset.tsf_T311.csv,184.2560104008255,37.586641879803814
tourism_quarterly_dataset.tsf_T305.csv,2094.885544768963,78.45811581434089
tourism_quarterly_dataset.tsf_T339.csv,43264.30135983603,53.434920585656066
tourism_quarterly_dataset.tsf_T84.csv,22242.580356302304,18.366813541628876
tourism_quarterly_dataset.tsf_T90.csv,3083.685279533233,43.592539381416664
tourism_quarterly_dataset.tsf_T113.csv,2842.875889390894,34.63611833117197
tourism_quarterly_dataset.tsf_T47.csv,4485.602509422247,41.93323568271184
tourism_quarterly_dataset.tsf_T53.csv,13747.793325766248,10.061009069867966
tourism_quarterly_dataset.tsf_T107.csv,417.7244728395968,17.189171996396404
tourism_quarterly_dataset.tsf_T103.csv,1423.994763001888,14.80666393015059
tourism_quarterly_dataset.tsf_T57.csv,7551.808629583518,12.884525228656058
tourism_quarterly_dataset.tsf_T43.csv,176.9222332267127,12.083170326296058
tourism_quarterly_dataset.tsf_T117.csv,6120.348263687933,29.090419149462715
tourism_quarterly_dataset.tsf_T94.csv,11356.053017849024,22.741016525830638
tourism_quarterly_dataset.tsf_T80.csv,41388.39037331847,36.61302067595228
tourism_quarterly_dataset.tsf_T301.csv,424.3095561984697,30.909993234550686
tourism_quarterly_dataset.tsf_T315.csv,1801.6893272725647,73.19791750135832
tourism_quarterly_dataset.tsf_T329.csv,10950.709022182575,39.960311411298214
tourism_quarterly_dataset.tsf_T275.csv,935.1443004070923,28.796600648245857
tourism_quarterly_dataset.tsf_T261.csv,3600.048230496754,24.77275461125911
tourism_quarterly_dataset.tsf_T249.csv,6425.295668837976,51.2142165644697
tourism_quarterly_dataset.tsf_T8.csv,13111.3685330247,7.655447959325883
tourism_quarterly_dataset.tsf_T9.csv,28664.52526683203,26.73321394503534
tourism_quarterly_dataset.tsf_T248.csv,318.21500791902554,33.9982685212425
tourism_quarterly_dataset.tsf_T260.csv,21052.901456645774,45.10957492500608
tourism_quarterly_dataset.tsf_T274.csv,2180.05477702649,31.09375232542784
tourism_quarterly_dataset.tsf_T328.csv,1187.2372624773307,22.883223574840866
tourism_quarterly_dataset.tsf_T314.csv,828.4768991023399,40.57099214718157
tourism_quarterly_dataset.tsf_T300.csv,1530.8626891943659,55.96246302983421
tourism_quarterly_dataset.tsf_T81.csv,10908.347466545481,12.991816981490059
