,MAE,SMAPE,RMSE
m3_yearly_dataset.tsf_T545.csv,59.056862521012775,0.7340023546959854,62.01505473947946
m3_yearly_dataset.tsf_T223.csv,119.88342737176717,1.827542947334741,133.15756969520342
m3_yearly_dataset.tsf_T237.csv,116.22716187290817,2.9065618360473233,152.52138474656127
m3_yearly_dataset.tsf_T551.csv,93.939730661254,1.2996556202378695,120.89873657182778
m3_yearly_dataset.tsf_T579.csv,65.70965596131846,1.4402253491915686,82.05239108705858
m3_yearly_dataset.tsf_T586.csv,573.4479046677236,20.30831694925926,907.1745429193071
m3_yearly_dataset.tsf_T592.csv,427.22567214456194,4.71332657430405,511.76273855916384
m3_yearly_dataset.tsf_T17.csv,326.1762143094846,5.6509199446917275,385.74371003563084
m3_yearly_dataset.tsf_T155.csv,266.59520274574277,2.8917177818040902,311.33085175591054
m3_yearly_dataset.tsf_T633.csv,321.8689714784632,4.4240240815137515,451.06316655824105
m3_yearly_dataset.tsf_T627.csv,200.44139548450494,3.3446202257790665,238.60219261368653
m3_yearly_dataset.tsf_T141.csv,296.6978250077667,4.794509457687664,356.43432152379086
m3_yearly_dataset.tsf_T169.csv,348.63602699190216,4.101807275764099,417.0025775714636
m3_yearly_dataset.tsf_T196.csv,258.94295729156477,4.521368605272666,348.86874204743066
m3_yearly_dataset.tsf_T182.csv,1164.552291519007,16.70150261995966,1246.9333786410286
m3_yearly_dataset.tsf_T431.csv,60.315104729798165,2.3240125281053894,71.37689332944011
m3_yearly_dataset.tsf_T357.csv,5654.618332496659,111.61676652777419,6200.072440424072
m3_yearly_dataset.tsf_T343.csv,326.8886967614726,7.609811523391296,372.91287174584227
m3_yearly_dataset.tsf_T425.csv,50.469484138440386,0.8094221307768364,66.53105702948214
m3_yearly_dataset.tsf_T419.csv,56.76973432377572,1.4212003435250469,77.95913552382977
m3_yearly_dataset.tsf_T394.csv,469.0513233982676,8.557835124231739,576.138816635951
m3_yearly_dataset.tsf_T380.csv,218.57535129624557,5.00765696578324,235.70849399806787
m3_yearly_dataset.tsf_T381.csv,404.7676865102232,7.615850005773007,477.5290109986017
m3_yearly_dataset.tsf_T395.csv,134.22295584642944,7.666186928856801,172.81715649500026
m3_yearly_dataset.tsf_T418.csv,411.23745856711065,4.310626404505294,555.0822866178065
m3_yearly_dataset.tsf_T342.csv,339.8923501696031,7.905441539937084,383.5203589322062
m3_yearly_dataset.tsf_T424.csv,125.86521038232343,10.524427229724205,167.1581988877608
m3_yearly_dataset.tsf_T430.csv,211.86802361425907,4.646076212487892,309.5055206268806
m3_yearly_dataset.tsf_T356.csv,2587.6352351909195,38.69722685478585,3491.21536539047
m3_yearly_dataset.tsf_T183.csv,810.3729278452422,6.211718219248697,968.4749888996151
m3_yearly_dataset.tsf_T197.csv,238.68527483743964,5.013680871487755,313.2645910602724
m3_yearly_dataset.tsf_T168.csv,472.5705760427096,5.073851786285614,574.2323751986527
m3_yearly_dataset.tsf_T626.csv,252.98383597298525,2.661168514155585,345.4152046823366
m3_yearly_dataset.tsf_T140.csv,482.21824427512036,5.99707737192383,571.0283519445151
m3_yearly_dataset.tsf_T154.csv,702.9780221655151,29.64811720642327,890.1556456659439
m3_yearly_dataset.tsf_T632.csv,292.9100215577246,3.7484308411762868,307.8727896640359
