,y,zhan,zhang,mao,arima
0,4752.0,4742.900166335745,4736.0,4735.0,4703.142857142858
1,4774.0,4764.522011882055,4762.0,4758.666666666667,4758.001671695247
2,4771.0,4789.227879200417,4788.0,4784.5,4778.844392092189
3,4787.0,4779.1795296015,4768.0,4769.5,4766.425742315589
4,4777.0,4798.113378081467,4793.5,4791.333333333333,4797.7
5,4777.0,4781.855781724878,4778.0,4777.75,4785.818181818182
6,4773.0,4781.500538382477,4777.75,4777.6,4785.083333333333
7,4772.0,4775.704429632975,4772.8,4772.833333333333,4780.153846153846
8,4766.0,4774.185782209409,4768.25,4769.0,4778.571428571428
9,4801.0,4766.403707827496,4761.8,4762.5,4771.733333333334
10,4818.0,4808.66490354859,4803.333333333333,4803.0,4808.5625
11,4854.0,4827.388257686167,4822.428571428572,4821.875,4826.117647058823
12,4892.0,4868.961775616747,4862.375,4861.444444444444,4863.666666666667
13,4891.0,4911.478801946924,4903.666666666667,4902.5,4903.1578947368425
14,4892.0,4904.531992660757,4890.0,4890.5,4901.55
15,4896.0,4903.262793714443,4892.0,4892.0,4902.0952380952385
16,4889.0,4906.113344516252,4897.333333333333,4897.0,4905.818181818182
17,4888.0,4896.155148016041,4888.25,4888.4,4898.086956521739
18,4884.0,4894.270772681205,4887.2,4887.333333333333,4896.666666666667
19,4927.0,4888.928951463781,4882.666666666667,4882.857142857143,4892.16
20,4946.0,4937.757631535177,4932.0,4931.375,4936.5
21,4965.0,4957.595507931964,4952.75,4952.0,4955.851851851852
22,4973.0,4977.473502286818,4973.111111111111,4972.3,4975.178571428572
23,4992.0,4984.440300715576,4981.1,4980.363636363636,4983.103448275862
24,5032.0,5004.352919295854,5001.090909090909,5000.333333333333,5002.4
25,5042.0,5048.072365813716,5043.666666666667,5042.7692307692305,5043.354838709677
26,5052.0,5056.538649112594,5052.0,5047.0,5053.3125
27,5058.0,5065.793490612073,5062.0,5058.666666666667,5063.272727272727
28,5059.0,5070.625429875057,5066.666666666667,5064.5,5069.117647058823
29,5071.0,5070.020091676607,5065.75,5064.4,5069.828571428571
30,5070.0,5082.48198944988,5078.8,5077.5,5081.861111111111
31,5106.0,5079.497710722587,5076.333333333333,5075.428571428572,5080.540540540541
32,5167.0,5119.1881670156745,5116.571428571428,5115.25,5117.210526315789
33,5262.0,5185.356092571646,5183.875,5182.0,5193.539309513537
34,5260.0,5289.544823071735,5279.619047619048,5278.818181818182,5324.17848698407
35,5252.0,5279.884962385748,5258.0,5259.0,5269.322894561571
36,5230.0,5267.229752196013,5247.0,5248.666666666667,5262.289664033328
37,5255.0,5240.344477556439,5219.333333333333,5222.0,5230.703856075861
38,5264.0,5269.119332320358,5253.25,5253.6,5286.591389337053
39,5278.0,5277.593552931927,5264.4,5264.333333333333,5275.735733838558
40,5310.0,5291.867589719108,5280.666666666667,5280.285714285715,5291.230351500877
41,5336.0,5326.174893507445,5316.857142857143,5316.0,5328.8366538492855
42,5371.0,5353.070229554267,5345.25,5344.222222222223,5353.328933758145
43,5381.0,5389.922253372376,5383.111111111111,5381.9,5391.575115997926
44,5405.0,5398.3761731241875,5392.9,5391.818181818182,5393.738113182362
45,5405.0,5422.922840522845,5418.0,5416.916666666667,5422.083672306838
46,5408.0,5420.673072785804,5416.916666666667,5416.0,5414.8132487475805
47,5409.0,5422.501102322246,5419.2307692307695,5418.428571428572,5418.492985115849
48,5424.0,5422.028615036209,5419.5,5418.8,5418.672701142918
49,5437.0,5438.02739766161,5434.8,5434.125,5437.909607897693
50,5437.0,5450.966436989805,5447.9375,5447.294117647059,5450.307861868669
