Dataset,SES,Theta,TBATS,ETS,ARIMA,PR,CatBoost,FFNN,DeepAR,N-BEATS,WaveNet,Transformer,Proposed
M1-Yearly,171353.41,152799.26,103006.9,146110.11,145608.87,134246.38,215904.2,136238.8,152084.4,173300.2,284953.9,164637.9,68196.39
M1-Quarterly,2206.27,1981.96,2326.46,2088.15,2191.1,1630.38,1802.18,1617.39,1951.14,1820.25,1855.89,1864.08,1393.17
M1-Monthly,2259.04,2166.18,2237.5,1905.28,2080.13,2088.25,2052.32,2162.58,1860.81,1820.37,2184.42,2723.88,2007.33
M3-Yearly,1022.27,957.4,1192.85,1031.4,1416.31,1018.48,1163.36,1082.03,994.72,962.33,987.28,924.47,514.4
M3-Quarterly,571.96,486.31,561.77,513.06,559.4,519.3,593.29,528.47,519.35,494.85,523.04,719.62,406.19
M3-Monthly,743.41,623.71,630.59,626.46,654.8,692.97,732,692.48,728.81,648.6,699.3,798.38,580.32
M3-Other,277.83,215.35,189.42,194.98,193.02,234.43,318.13,240.17,247.56,221.85,245.29,239.24,91.8
