,MAD,MAPE,SMAPE,RMSE,NRMSE
zhan,19.66671760629569,0.2846648476037704,0.2850185030654564,27.750575348599963,38.92350463940748
zhang,21.0987600868799,0.3025237160118911,0.30313839569388423,30.743618429543034,43.12160593221226
mao,20.421981876630277,0.2936250699355531,0.2942988096464601,30.01501366075644,42.09965050455335
arima,20.496554929713877,0.2971042267043839,0.29738636460161716,28.79662585115586,40.39071571801826
