,MAE,SMAPE,RMSE
m3_yearly_dataset.tsf,514.3989374275952,9.634001805402633,632.0941118703703
m1_quarterly_dataset.tsf,1393.1672716213832,11.50738100056834,1609.9830855031144
m3_monthly_dataset.tsf,580.3226535962211,13.975985127472642,742.0725885496213
m1_monthly_dataset.tsf,2007.3334566099925,14.645365408450488,2590.879864048491
m3_quarterly_dataset.tsf,406.1895158607437,8.095067851049576,495.42850670752694
m3_other_dataset.tsf,91.79962188433042,2.2063165675971015,112.61651290212374
m1_yearly_dataset.tsf,68196.39195060337,8.728099953042475,84239.66768147844
