,MAE,SMAPE
tourism_monthly_dataset.tsf,4108.787217060642,33.39785540602994
tourism_quarterly_dataset.tsf,17006.620354247996,34.31086197346353
tourism_yearly_dataset.tsf,36963.418221320106,13.839233441166169
