,MAE,SMAPE,RMSE
m1_quarterly_dataset.tsf_T182.csv,96.19827801700922,1.2455554294646398,104.15632819985322
m1_quarterly_dataset.tsf_T196.csv,1308.7134110499044,51.17999241361816,1592.0651185415413
m1_quarterly_dataset.tsf_T169.csv,1.140734175635036,1.1499104150235981,1.3802127275953548
m1_quarterly_dataset.tsf_T141.csv,13.148174023656166,12.04035662675519,16.555092768823453
m1_quarterly_dataset.tsf_T155.csv,11.59160007160447,9.51759984313828,12.240979349163805
m1_quarterly_dataset.tsf_T53.csv,8.443732818773679,12.320658631412428,8.889933180310727
m1_quarterly_dataset.tsf_T47.csv,22.280973097018514,20.6120043912308,27.937775535846075
m1_quarterly_dataset.tsf_T90.csv,1.2046042314605327,6.672227257207569,1.5194968857639908
m1_quarterly_dataset.tsf_T84.csv,11.073944478517973,5.305040082218455,11.727042557748314
m1_quarterly_dataset.tsf_T85.csv,14.609268822231371,10.074958508298101,17.49346747398236
m1_quarterly_dataset.tsf_T91.csv,2.5484834238200524,30.566403491293936,2.9696425663471766
m1_quarterly_dataset.tsf_T46.csv,14.71914595461389,15.079588133608672,15.43411141683253
m1_quarterly_dataset.tsf_T52.csv,4.46337799291407,12.039974345907273,5.207975436482426
m1_quarterly_dataset.tsf_T154.csv,13.654120046107971,12.209146695865792,16.192413779197214
m1_quarterly_dataset.tsf_T140.csv,20.28388391357242,21.097916969981277,25.731019003267843
m1_quarterly_dataset.tsf_T168.csv,0.04092147122960643,0.6957030214311948,0.0460136578138634
m1_quarterly_dataset.tsf_T197.csv,2.721619760844082,1.7674336548744638,3.053453917388531
m1_quarterly_dataset.tsf_T183.csv,0.008936380382137907,0.8221437508568,0.009687041995500403
m1_quarterly_dataset.tsf_T195.csv,0.28808064096863817,0.7441030448870808,0.3609425766106202
m1_quarterly_dataset.tsf_T181.csv,0.8798108705833447,24.911070359693163,1.0210117327306474
m1_quarterly_dataset.tsf_T156.csv,5.656581922185121,5.007102283373726,6.770463090341751
m1_quarterly_dataset.tsf_T142.csv,1.689596776058707,1.6647405722120812,2.0282619393235595
m1_quarterly_dataset.tsf_T78.csv,171.0467218229964,1.3140737083554421,204.33701448241968
m1_quarterly_dataset.tsf_T44.csv,9.119033394983832,11.146559505479695,10.894799802271084
m1_quarterly_dataset.tsf_T50.csv,19.63500804896262,11.18781481159046,26.047075713945315
m1_quarterly_dataset.tsf_T87.csv,425.250685493151,1.058577395525442,527.356516579481
m1_quarterly_dataset.tsf_T93.csv,44.28193360460587,32.8133348679211,50.97997475594318
m1_quarterly_dataset.tsf_T92.csv,7.262521506691839,14.604320927149304,9.4633257466465
m1_quarterly_dataset.tsf_T86.csv,80.21504484619888,19.280234247030684,98.99465324939239
m1_quarterly_dataset.tsf_T51.csv,2.1952677772183518,11.00849511578132,2.8278953546486685
m1_quarterly_dataset.tsf_T45.csv,0.06883526179604463,3.260943739249819,0.07825782087627242
m1_quarterly_dataset.tsf_T79.csv,625.2335113889318,0.6827485750160139,798.9033461281488
m1_quarterly_dataset.tsf_T143.csv,4.477004870682484,3.978790566908933,5.342385952665054
m1_quarterly_dataset.tsf_T157.csv,86.61578061116371,12.866058095504668,100.02276294246653
m1_quarterly_dataset.tsf_T180.csv,15.289075683263547,4.140799670707453,18.607313914929183
m1_quarterly_dataset.tsf_T194.csv,2.509647295141631,2.36732620103631,3.052026548929411
m1_quarterly_dataset.tsf_T190.csv,114.20599505705549,67.24490920103578,141.10274421119541
m1_quarterly_dataset.tsf_T184.csv,15.663872468306,24.64276103366419,21.502222605911374
m1_quarterly_dataset.tsf_T153.csv,0.7908820435363102,14.431781183126239,0.9249720992490738
m1_quarterly_dataset.tsf_T147.csv,1.487429986807939,1.118938186204655,1.8650660790481348
m1_quarterly_dataset.tsf_T41.csv,2032.0189448165595,24.035441716089274,2359.5525187611347
m1_quarterly_dataset.tsf_T55.csv,55.52300187163265,5.984235456877919,62.73378946365826
m1_quarterly_dataset.tsf_T69.csv,8.11850588273494,11.52657994898512,10.695962823598494
m1_quarterly_dataset.tsf_T82.csv,880.2946354400962,1.1841954088238817,1030.7660595943994
m1_quarterly_dataset.tsf_T96.csv,50.15131292311023,11.181425531520214,59.31223051924516
m1_quarterly_dataset.tsf_T97.csv,134.38987243613738,10.139841023424962,147.4231577459097
m1_quarterly_dataset.tsf_T83.csv,222.959647114194,1.3394090605672742,301.6821451737169
m1_quarterly_dataset.tsf_T68.csv,2.5065790117894706,8.66845948532523,2.864190424736439
m1_quarterly_dataset.tsf_T54.csv,16.059082577402787,13.413771950077606,18.138181881921653
m1_quarterly_dataset.tsf_T40.csv,2823.595605339239,18.252270745020535,3092.3039082364435
m1_quarterly_dataset.tsf_T146.csv,3.3061805072605273,2.3876911013748945,4.314881880413637
m1_quarterly_dataset.tsf_T152.csv,0.226910120992853,9.943737220869675,0.31486040332974996
m1_quarterly_dataset.tsf_T185.csv,13.557139752695253,15.245820445502426,15.973269636019271
m1_quarterly_dataset.tsf_T191.csv,25.697866176555994,27.652475983301507,32.14159801630679
m1_quarterly_dataset.tsf_T187.csv,8.341255689824246,52.657616846101284,9.817803997347378
m1_quarterly_dataset.tsf_T193.csv,121.87739376153148,19.32040763372339,151.76175559854656
m1_quarterly_dataset.tsf_T144.csv,6.032479014950293,5.862476506568359,7.557364167219323
m1_quarterly_dataset.tsf_T150.csv,1.8082054830408592,1.3979674120285261,2.035203633922756
m1_quarterly_dataset.tsf_T178.csv,0.15803220603433843,0.7877473469915978,0.1768363666347709
